"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"30 minutes",,"noun","preferred",,,,"30 minutes",,"noun","preferred",,,,"30 Minuten",,"noun","preferred",,,,"30 minutos",,"noun","preferred",,,,"30 minutos",,"noun","preferred",,,,"Yes"
"30 seconds",,"noun","preferred",,,,"30 secondes",,"noun","preferred",,,,"30 Sekunden",,"noun","preferred",,,,"30 segundos",,"noun","preferred",,,,"30 segundos",,"noun","preferred",,,,"Yes"
"4 hours",,"noun","preferred",,,,"4 heures",,"noun","preferred",,,,"4 Stunden",,"noun","preferred",,,,"4 horas",,"noun","preferred",,,,"4 horas",,"noun","preferred",,,,"Yes"
"4 minutes",,"noun","preferred",,,,"4 minutes",,"noun","preferred",,,,"4 Minuten",,"noun","preferred",,,,"4 minutos",,"noun","preferred",,,,"4 minutos",,"noun","preferred",,,,"Yes"
"5 min",,"noun","preferred",,,,"5 min",,"noun","preferred",,,,"5 Min",,"noun","preferred",,,,"5 min",,"noun","preferred",,,,"5 min",,"noun","preferred",,,,"Yes"
"5 minutes",,"noun","preferred",,,,"5 minutes",,"noun","preferred",,,,"5 Minuten",,"noun","preferred",,,,"5 minutos",,"noun","preferred",,,,"5 minutos",,"noun","preferred",,,,"Yes"
"587",,"noun","preferred",,,,"587",,"noun","preferred",,,,"587",,"noun","preferred",,,,"587",,"noun","preferred",,,,"587",,"noun","preferred",,,,"Yes"
"6 hours",,"noun","preferred",,,,"6 heures",,"noun","preferred",,,,"6 Stunden",,"noun","preferred",,,,"6 horas",,"noun","preferred",,,,"6 horas",,"noun","preferred",,,,"Yes"
"6 months",,"noun","preferred",,,,"6 mois",,"noun","preferred",,,,"6 Monate",,"noun","preferred",,,,"6 meses",,"noun","preferred",,,,"6 meses",,"noun","preferred",,,,"Yes"
"A system alert has been triggered.",,"noun","preferred",,,,"Une alerte système a été déclenchée.",,"noun","preferred",,,,"Eine Systemwarnung wurde ausgelöst.",,"noun","preferred",,,,"Um alerta do sistema foi acionado.",,"noun","preferred",,,,"Se ha activado una alerta del sistema.",,"noun","preferred",,,,"Yes"
"A unique name for this server",,"noun","preferred",,,,"Un nom unique pour ce serveur",,"noun","preferred",,,,"Ein eindeutiger Name für diesen Server",,"noun","preferred",,,,"Um nome exclusivo para este servidor",,"noun","preferred",,,,"Un nombre único para este servidor",,"noun","preferred",,,,"Yes"
"About",,"noun","preferred",,,,"À propos",,"noun","preferred",,,,"Über",,"noun","preferred",,,,"Sobre",,"noun","preferred",,,,"Acerca de",,"noun","preferred",,,,"Yes"
"Access forbidden - You do not have permission",,"noun","preferred",,,,"Accès interdit - Vous n'avez pas la permission",,"noun","preferred",,,,"Zugriff verboten - Sie haben keine Berechtigung",,"noun","preferred",,,,"Acesso proibido - Você não tem permissão",,"noun","preferred",,,,"Acceso prohibido - No tiene permiso",,"noun","preferred",,,,"Yes"
"Account created successfully",,"noun","preferred",,,,"Compte créé avec succès",,"noun","preferred",,,,"Konto erfolgreich erstellt",,"noun","preferred",,,,"Conta criada com sucesso",,"noun","preferred",,,,"Cuenta creada exitosamente",,"noun","preferred",,,,"Yes"
"Action",,"noun","preferred",,,,"Action",,"noun","preferred",,,,"Aktion",,"noun","preferred",,,,"Ação",,"noun","preferred",,,,"Acción",,"noun","preferred",,,,"Yes"
"Action Required",,"noun","preferred",,,,"Action requise",,"noun","preferred",,,,"Aktion erforderlich",,"noun","preferred",,,,"Ação Necessária",,"noun","preferred",,,,"Acción requerida",,"noun","preferred",,,,"Yes"
"Actions",,"noun","preferred",,,,"Actions",,"noun","preferred",,,,"Aktionen",,"noun","preferred",,,,"Ações",,"noun","preferred",,,,"Acciones",,"noun","preferred",,,,"Yes"
"Active",,"noun","preferred",,,,"Actif",,"noun","preferred",,,,"Aktiv",,"noun","preferred",,,,"Ativo",,"noun","preferred",,,,"Activo",,"noun","preferred",,,,"Yes"
"Add",,"verb","preferred",,,,"Ajouter",,"verb","preferred",,,,"Hinzufügen",,"verb","preferred",,,,"Adicionar",,"verb","preferred",,,,"Añadir",,"verb","preferred",,,,"Yes"
"Add Server",,"noun","preferred",,,,"Ajouter un serveur",,"noun","preferred",,,,"Server hinzufügen",,"noun","preferred",,,,"Adicionar servidor",,"noun","preferred",,,,"Agregar servidor",,"noun","preferred",,,,"Yes"
"Add User",,"noun","preferred",,,,"Ajouter un utilisateur",,"noun","preferred",,,,"Benutzer hinzufügen",,"noun","preferred",,,,"Adicionar usuário",,"noun","preferred",,,,"Agregar usuario",,"noun","preferred",,,,"Yes"
"Add, edit, and manage backup servers",,"noun","preferred",,,,"Ajouter, modifier et gérer les serveurs de sauvegarde",,"noun","preferred",,,,"Backup-Server hinzufügen, bearbeiten und verwalten",,"noun","preferred",,,,"Adicionar, editar e gerenciar servidores de backup",,"noun","preferred",,,,"Agregar, editar y administrar servidores de backup",,"noun","preferred",,,,"Yes"
"Additional Destinations",,"noun","preferred",,,,"Destinations supplémentaires",,"noun","preferred",,,,"Zusätzliche Ziele",,"noun","preferred",,,,"Destinos adicionais",,"noun","preferred",,,,"Destinos adicionales",,"noun","preferred",,,,"Yes"
"Additional notes",,"noun","preferred",,,,"Notes supplémentaires",,"noun","preferred",,,,"Zusätzliche Notizen",,"noun","preferred",,,,"Notas adicionais",,"noun","preferred",,,,"Notas adicionales",,"noun","preferred",,,,"Yes"
"Admin",,"noun","preferred",,,,"Admin",,"noun","preferred",,,,"Admin",,"noun","preferred",,,,"Admin",,"noun","preferred",,,,"Admin",,"noun","preferred",,,,"Yes"
"Admin user",,"noun","preferred",,,,"Utilisateur administrateur",,"noun","preferred",,,,"Administratorbenutzer",,"noun","preferred",,,,"Usuário administrador",,"noun","preferred",,,,"Usuario administrador",,"noun","preferred",,,,"Yes"
"Affected Systems",,"noun","preferred",,,,"Systèmes affectés",,"noun","preferred",,,,"Betroffene Systeme",,"noun","preferred",,,,"Sistemas Afetados",,"noun","preferred",,,,"Sistemas afectados",,"noun","preferred",,,,"Yes"
"Age",,"noun","preferred",,,,"Âge",,"noun","preferred",,,,"Alter",,"noun","preferred",,,,"Idade",,"noun","preferred",,,,"Antigüedad",,"noun","preferred",,,,"Yes"
"Alert Type",,"noun","preferred",,,,"Type d'alerte",,"noun","preferred",,,,"Warntyp",,"noun","preferred",,,,"Tipo de Alerta",,"noun","preferred",,,,"Tipo de alerta",,"noun","preferred",,,,"Yes"
"Alerts",,"noun","preferred",,,,"Alertes",,"noun","preferred",,,,"Warnungen",,"noun","preferred",,,,"Alertas",,"noun","preferred",,,,"Alertas",,"noun","preferred",,,,"Yes"
"Alias",,"noun","preferred",,,,"Alias",,"noun","preferred",,,,"Alias",,"noun","preferred",,,,"Alias",,"noun","preferred",,,,"Alias",,"noun","preferred",,,,"Yes"
"Alias of the server (server_name if not set)",,"noun","preferred",,,,"Alias du serveur (server_name si non défini)",,"noun","preferred",,,,"Alias des Servers (server_name, wenn nicht gesetzt)",,"noun","preferred",,,,"Apelido do servidor (server_name se não definido)",,"noun","preferred",,,,"Alias del servidor (server_name si no está configurado)",,"noun","preferred",,,,"Yes"
"All",,"noun","preferred",,,,"Tous",,"noun","preferred",,,,"Alle",,"noun","preferred",,,,"Todos",,"noun","preferred",,,,"Todos",,"noun","preferred",,,,"Yes"
"All actions",,"noun","preferred",,,,"Toutes les actions",,"noun","preferred",,,,"Alle Aktionen",,"noun","preferred",,,,"Todas as ações",,"noun","preferred",,,,"Todas las acciones",,"noun","preferred",,,,"Yes"
"All available data",,"noun","preferred",,,,"Toutes les données disponibles",,"noun","preferred",,,,"Alle verfügbaren Daten",,"noun","preferred",,,,"Todos os dados disponíveis",,"noun","preferred",,,,"Todos los datos disponibles",,"noun","preferred",,,,"Yes"
"all backups",,"noun","preferred",,,,"toutes les sauvegardes",,"noun","preferred",,,,"alle Sicherungen",,"noun","preferred",,,,"todos os backups",,"noun","preferred",,,,"todas las copias de seguridad",,"noun","preferred",,,,"Yes"
"All categories",,"noun","preferred",,,,"Toutes les catégories",,"noun","preferred",,,,"Alle Kategorien",,"noun","preferred",,,,"Todas as categorias",,"noun","preferred",,,,"Todas las categorías",,"noun","preferred",,,,"Yes"
"All Servers & Backups",,"noun","preferred",,,,"Tous les serveurs et sauvegardes",,"noun","preferred",,,,"Alle Server & Sicherungen",,"noun","preferred",,,,"Todos os servidores e backups",,"noun","preferred",,,,"Todos los servidores y copias de seguridad",,"noun","preferred",,,,"Yes"
"All statuses",,"noun","preferred",,,,"Tous les statuts",,"noun","preferred",,,,"Alle Status",,"noun","preferred",,,,"Todos os status",,"noun","preferred",,,,"Todos los estados",,"noun","preferred",,,,"Yes"
"Allowed Days",,"noun","preferred",,,,"Jours autorisés",,"noun","preferred",,,,"Erlaubte Tage",,"noun","preferred",,,,"Dias permitidos",,"noun","preferred",,,,"Días permitidos",,"noun","preferred",,,,"Yes"
"Allowed Weekdays",,"noun","preferred",,,,"Jours de la semaine autorisés",,"noun","preferred",,,,"Erlaubte Wochentage",,"noun","preferred",,,,"Dias da semana permitidos",,"noun","preferred",,,,"Días de la semana permitidos",,"noun","preferred",,,,"Yes"
"An unexpected error occurred",,"noun","preferred",,,,"Une erreur inattendue s'est produite",,"noun","preferred",,,,"Ein unerwarteter Fehler ist aufgetreten",,"noun","preferred",,,,"Ocorreu um erro inesperado",,"noun","preferred",,,,"Ocurrió un error inesperado",,"noun","preferred",,,,"Yes"
"An unexpected error occurred during collection",,"noun","preferred",,,,"Une erreur inattendue s'est produite lors de la collecte",,"noun","preferred",,,,"Ein unerwarteter Fehler ist während der Sammlung aufgetreten",,"noun","preferred",,,,"Ocorreu um erro inesperado durante a coleta",,"noun","preferred",,,,"Ocurrió un error inesperado durante la recopilación",,"noun","preferred",,,,"Yes"
"An unknown error occurred",,"noun","preferred",,,,"Une erreur inconnue est survenue",,"noun","preferred",,,,"Ein unbekannter Fehler ist aufgetreten",,"noun","preferred",,,,"Ocorreu um erro desconhecido",,"noun","preferred",,,,"Ocurrió un error desconocido",,"noun","preferred",,,,"Yes"
"analytics view",,"noun","preferred",,,,"vue analyse",,"noun","preferred",,,,"Analyseansicht",,"noun","preferred",,,,"visualização de análise",,"noun","preferred",,,,"vista de análisis",,"noun","preferred",,,,"Yes"
"API key generated successfully",,"noun","preferred",,,,"Clé API générée avec succès",,"noun","preferred",,,,"API-Schlüssel erfolgreich generiert",,"noun","preferred",,,,"Chave API gerada com sucesso",,"noun","preferred",,,,"Clave API generada exitosamente",,"noun","preferred",,,,"Yes"
"API key regenerated successfully",,"noun","preferred",,,,"Clé API régénérée avec succès",,"noun","preferred",,,,"API-Schlüssel erfolgreich neu generiert",,"noun","preferred",,,,"Chave API regenerada com sucesso",,"noun","preferred",,,,"Clave API regenerada exitosamente",,"noun","preferred",,,,"Yes"
"API key revoked successfully",,"noun","preferred",,,,"Clé API révoquée avec succès",,"noun","preferred",,,,"API-Schlüssel erfolgreich widerrufen",,"noun","preferred",,,,"Chave API revogada com sucesso",,"noun","preferred",,,,"Clave API revocada exitosamente",,"noun","preferred",,,,"Yes"
"Application Logs",,"noun","preferred",,,,"Journaux d'application",,"noun","preferred",,,,"Anwendungsprotokolle",,"noun","preferred",,,,"Logs da aplicação",,"noun","preferred",,,,"Logs de aplicación",,"noun","preferred",,,,"Yes"
"Application Logs Viewer",,"noun","preferred",,,,"Visualiseur de journaux d'application",,"noun","preferred",,,,"Anwendungsprotokoll-Viewer",,"noun","preferred",,,,"Visualizador de logs do aplicativo",,"noun","preferred",,,,"Visor de Logs de aplicación",,"noun","preferred",,,,"Yes"
"Application Name",,"noun","preferred",,,,"Nom de l'application",,"noun","preferred",,,,"Anwendungsname",,"noun","preferred",,,,"Nome do aplicativo",,"noun","preferred",,,,"Nombre de la aplicación",,"noun","preferred",,,,"Yes"
"Are you sure you want to logout?",,"noun","preferred",,,,"Êtes-vous sûr de vouloir vous déconnecter?",,"noun","preferred",,,,"Sind Sie sicher, dass Sie sich abmelden möchten?",,"noun","preferred",,,,"Tem certeza de que deseja sair?",,"noun","preferred",,,,"¿Está seguro de que desea cerrar sesión?",,"noun","preferred",,,,"Yes"
"Are you sure?",,"noun","preferred",,,,"Êtes-vous sûr?",,"noun","preferred",,,,"Sind Sie sicher?",,"noun","preferred",,,,"Tem certeza?",,"noun","preferred",,,,"¿Está seguro?",,"noun","preferred",,,,"Yes"
"At least  characters",,"noun","preferred",,,,"Au moins  caractères",,"noun","preferred",,,,"Mindestens  Zeichen",,"noun","preferred",,,,"Pelo menos  caracteres",,"noun","preferred",,,,"Al menos  caracteres",,"noun","preferred",,,,"Yes"
"At least one lowercase letter",,"noun","preferred",,,,"Au moins une lettre minuscule",,"noun","preferred",,,,"Mindestens ein Kleinbuchstabe",,"noun","preferred",,,,"Pelo menos uma letra minúscula",,"noun","preferred",,,,"Al menos una letra minúscula",,"noun","preferred",,,,"Yes"
"At least one number",,"noun","preferred",,,,"Au moins un chiffre",,"noun","preferred",,,,"Mindestens eine Zahl",,"noun","preferred",,,,"Pelo menos um número",,"noun","preferred",,,,"Al menos un número",,"noun","preferred",,,,"Yes"
"At least one special character",,"noun","preferred",,,,"Au moins un caractère spécial",,"noun","preferred",,,,"Mindestens ein Sonderzeichen",,"noun","preferred",,,,"Pelo menos um caractere especial",,"noun","preferred",,,,"Al menos un carácter especial",,"noun","preferred",,,,"Yes"
"At least one uppercase letter",,"noun","preferred",,,,"Au moins une lettre majuscule",,"noun","preferred",,,,"Mindestens ein Großbuchstabe",,"noun","preferred",,,,"Pelo menos uma letra maiúscula",,"noun","preferred",,,,"Al menos una letra mayúscula",,"noun","preferred",,,,"Yes"
"Audit Log",,"noun","preferred",,,,"Journal d'Audit",,"noun","preferred",,,,"Audit-Log",,"noun","preferred",,,,"Log de Auditoria",,"noun","preferred",,,,"Log de Auditoría",,"noun","preferred",,,,"Yes"
"Audit Log Details",,"noun","preferred",,,,"Détails du journal d'audit",,"noun","preferred",,,,"Audit-Log-Details",,"noun","preferred",,,,"Detalhes do log de auditoria",,"noun","preferred",,,,"Detalles del log de auditoría",,"noun","preferred",,,,"Yes"
"Audit Log Retention",,"noun","preferred",,,,"Rétention du journal d'audit",,"noun","preferred",,,,"Audit-Log-Aufbewahrung",,"noun","preferred",,,,"Retenção de log de auditoria",,"noun","preferred",,,,"Retención del log de auditoría",,"noun","preferred",,,,"Yes"
"Audit Log Viewer",,"noun","preferred",,,,"Visualiseur de journal d'audit",,"noun","preferred",,,,"Audit-Log-Viewer",,"noun","preferred",,,,"Visualizador de log de auditoria",,"noun","preferred",,,,"Visor de log de auditoría",,"noun","preferred",,,,"Yes"
"Audit Log Viewer - Filters",,"noun","preferred",,,,"Visualiseur de journal d'audit - Filtres",,"noun","preferred",,,,"Prüfprotokoll-Viewer - Filter",,"noun","preferred",,,,"Visualizador de log de auditoria - Filtros",,"noun","preferred",,,,"Visor de log de auditoría - Filtros",,"noun","preferred",,,,"Yes"
"Authentication Failed",,"noun","preferred",,,,"Échec de l'authentification",,"noun","preferred",,,,"Authentifizierung fehlgeschlagen",,"noun","preferred",,,,"Autenticação falhou",,"noun","preferred",,,,"Autenticación fallida",,"noun","preferred",,,,"Yes"
"Auto Refresh",,"noun","preferred",,,,"Actualisation automatique",,"noun","preferred",,,,"Automatische Aktualisierung",,"noun","preferred",,,,"Atualização automática",,"noun","preferred",,,,"Actualización automática",,"noun","preferred",,,,"Yes"
"Auto-generate secure password",,"noun","preferred",,,,"Générer automatiquement un mot de passe sécurisé",,"noun","preferred",,,,"Sicheres Passwort automatisch generieren",,"noun","preferred",,,,"Gerar senha segura automaticamente",,"noun","preferred",,,,"Generar automáticamente contraseña segura",,"noun","preferred",,,,"Yes"
"Auto-refresh ()",,"noun","preferred",,,,"Actualisation automatique ()",,"noun","preferred",,,,"Automatische Aktualisierung ()",,"noun","preferred",,,,"Atualização automática ()",,"noun","preferred",,,,"Actualización automática ()",,"noun","preferred",,,,"Yes"
"Auto-refresh (disabled)",,"noun","preferred",,,,"Actualisation automatique (désactivée)",,"noun","preferred",,,,"Automatische Aktualisierung (deaktiviert)",,"noun","preferred",,,,"Atualização automática (desativada)",,"noun","preferred",,,,"Actualización automática (desactivada)",,"noun","preferred",,,,"Yes"
"Auto-refresh (loading)",,"noun","preferred",,,,"Actualisation automatique (chargement)",,"noun","preferred",,,,"Automatische Aktualisierung (Lädt...)",,"noun","preferred",,,,"Atualização automática (carregando)",,"noun","preferred",,,,"Actualización automática (cargando)",,"noun","preferred",,,,"Yes"
"Auto-refresh Interval",,"noun","preferred",,,,"Intervalle de rafraîchissement automatique",,"noun","preferred",,,,"Automatische Aktualisierung",,"noun","preferred",,,,"Intervalo de atualização automática",,"noun","preferred",,,,"Intervalo de actualización automática",,"noun","preferred",,,,"Yes"
"Auto-scroll",,"noun","preferred",,,,"Défilement automatique",,"noun","preferred",,,,"Automatisches Scrollen",,"noun","preferred",,,,"Rolagem automática",,"noun","preferred",,,,"Desplazamiento automático",,"noun","preferred",,,,"Yes"
"Automatically refresh dashboard data",,"noun","preferred",,,,"Actualiser automatiquement les données du tableau de bord",,"noun","preferred",,,,"Dashboard-Daten automatisch aktualisieren",,"noun","preferred",,,,"Atualizar automaticamente os dados do painel",,"noun","preferred",,,,"Actualizar automáticamente los datos del panel",,"noun","preferred",,,,"Yes"
"Available Backup Versions",,"noun","preferred",,,,"Versions de sauvegarde disponibles",,"noun","preferred",,,,"Verfügbare Sicherungsversionen",,"noun","preferred",,,,"Versões de backup disponíveis",,"noun","preferred",,,,"Versiones de backup disponibles",,"noun","preferred",,,,"Yes"
"Available Space",,"noun","preferred",,,,"Espace disponible",,"noun","preferred",,,,"Verfügbarer Speicherplatz",,"noun","preferred",,,,"Espaço Disponível",,"noun","preferred",,,,"Espacio disponible",,"noun","preferred",,,,"Yes"
"Available Versions",,"noun","preferred",,,,"Versions disponibles",,"noun","preferred",,,,"Verfügbare Versionen",,"noun","preferred",,,,"Versões disponíveis",,"noun","preferred",,,,"Versiones disponibles",,"noun","preferred",,,,"Yes"
"Available versions at the time of the backup",,"noun","preferred",,,,"Versions disponibles au moment de la sauvegarde",,"noun","preferred",,,,"Verfügbare Versionen zum Zeitpunkt der Sicherung",,"noun","preferred",,,,"Versões disponíveis no momento do backup",,"noun","preferred",,,,"Versiones disponibles en el momento del backup",,"noun","preferred",,,,"Yes"
"Average",,"noun","preferred",,,,"Moyenne",,"noun","preferred",,,,"Durchschnitt",,"noun","preferred",,,,"Média",,"noun","preferred",,,,"Promedio",,"noun","preferred",,,,"Yes"
"Average Duration",,"noun","preferred",,,,"Durée moyenne",,"noun","preferred",,,,"Durchschnittliche Dauer",,"noun","preferred",,,,"Duração média",,"noun","preferred",,,,"Duración promedio",,"noun","preferred",,,,"Yes"
"Avg. Duration",,"noun","preferred",,,,"Durée moy.",,"noun","preferred",,,,"Durchschn. Dauer",,"noun","preferred",,,,"Duração méd.",,"noun","preferred",,,,"Duración prom.",,"noun","preferred",,,,"Yes"
"Back",,"noun","preferred",,,,"Retour",,"noun","preferred",,,,"Zurück",,"noun","preferred",,,,"Voltar",,"noun","preferred",,,,"Atrás",,"noun","preferred",,,,"Yes"
"Back Online",,"noun","preferred",,,,"De retour en ligne",,"noun","preferred",,,,"Wieder online",,"noun","preferred",,,,"Online Novamente",,"noun","preferred",,,,"De vuelta en línea",,"noun","preferred",,,,"Yes"
"Back to Login",,"noun","preferred",,,,"Retour à la connexion",,"noun","preferred",,,,"Zurück zum Login",,"noun","preferred",,,,"Voltar ao Login",,"noun","preferred",,,,"Volver al inicio de sesión",,"noun","preferred",,,,"Yes"
"backup",,"noun","preferred",,,,"sauvegarde",,"noun","preferred",,,,"Sicherung",,"noun","preferred",,,,"backup",,"noun","preferred",,,,"backup",,"noun","preferred",,,,"Yes"
"Backup cancelled",,"noun","preferred",,,,"Sauvegarde annulée",,"noun","preferred",,,,"Sicherung abgebrochen",,"noun","preferred",,,,"Backup cancelado",,"noun","preferred",,,,"Backup cancelado",,"noun","preferred",,,,"Yes"
"Backup cleanup completed",,"noun","preferred",,,,"Nettoyage des sauvegardes terminé",,"noun","preferred",,,,"Sicherungsbereinigung abgeschlossen",,"noun","preferred",,,,"Limpeza de backup concluída",,"noun","preferred",,,,"Limpieza de backups completada",,"noun","preferred",,,,"Yes"
"Backup cleanup failed",,"noun","preferred",,,,"Nettoyage des sauvegardes échoué",,"noun","preferred",,,,"Sicherungsbereinigung fehlgeschlagen",,"noun","preferred",,,,"Limpeza de backup falhou",,"noun","preferred",,,,"Limpieza de backups fallida",,"noun","preferred",,,,"Yes"
"Backup cleanup started",,"noun","preferred",,,,"Nettoyage des sauvegardes démarré",,"noun","preferred",,,,"Sicherungsbereinigung gestartet",,"noun","preferred",,,,"Limpeza de backup iniciada",,"noun","preferred",,,,"Limpieza de backups iniciada",,"noun","preferred",,,,"Yes"
"Backup Code",,"noun","preferred",,,,"Code de sauvegarde",,"noun","preferred",,,,"Backup-Code",,"noun","preferred",,,,"Código de backup",,"noun","preferred",,,,"Código de backup",,"noun","preferred",,,,"Yes"
"Backup completed",,"noun","preferred",,,,"Sauvegarde terminée",,"noun","preferred",,,,"Sicherung abgeschlossen",,"noun","preferred",,,,"Backup concluído",,"noun","preferred",,,,"Backup completado",,"noun","preferred",,,,"Yes"
"Backup completed successfully",,"noun","preferred",,,,"Sauvegarde terminée avec succès",,"noun","preferred",,,,"Sicherung erfolgreich abgeschlossen",,"noun","preferred",,,,"Backup concluído com sucesso",,"noun","preferred",,,,"Backup completado exitosamente",,"noun","preferred",,,,"Yes"
"Backup configuration updated",,"noun","preferred",,,,"Configuration de sauvegarde mise à jour",,"noun","preferred",,,,"Sicherungskonfiguration aktualisiert",,"noun","preferred",,,,"Configuração de backup atualizada",,"noun","preferred",,,,"Configuración de backup actualizada",,"noun","preferred",,,,"Yes"
"Backup Count",,"noun","preferred",,,,"Nombre de sauvegardes",,"noun","preferred",,,,"Anzahl der Sicherungen",,"noun","preferred",,,,"Contagem de backups",,"noun","preferred",,,,"Cantidad de backups",,"noun","preferred",,,,"Yes"
"Backup created",,"noun","preferred",,,,"Sauvegarde créée",,"noun","preferred",,,,"Sicherung erstellt",,"noun","preferred",,,,"Backup criado",,"noun","preferred",,,,"Backup creado",,"noun","preferred",,,,"Yes"
"Backup Date",,"noun","preferred",,,,"Date de sauvegarde",,"noun","preferred",,,,"Sicherungsdatum",,"noun","preferred",,,,"Data do backup",,"noun","preferred",,,,"Fecha del backup",,"noun","preferred",,,,"Yes"
"Backup deleted",,"noun","preferred",,,,"Sauvegarde supprimée",,"noun","preferred",,,,"Sicherung gelöscht",,"noun","preferred",,,,"Backup excluído",,"noun","preferred",,,,"Backup eliminado",,"noun","preferred",,,,"Yes"
"Backup details",,"noun","preferred",,,,"Détails de la sauvegarde",,"noun","preferred",,,,"Sicherungsdetails",,"noun","preferred",,,,"Detalhes do backup",,"noun","preferred",,,,"Detalles del backup",,"noun","preferred",,,,"Yes"
