"en","fr","de","pt-BR","es"
"Backup check interval updated successfully","Intervalle de vérification des sauvegardes mis à jour avec succès","Backup-Prüfintervall erfolgreich aktualisiert","Intervalo de verificação de backups atualizado com sucesso","Intervalo de verificación de backups actualizado exitosamente"
"Backup cleanup completed","Nettoyage des sauvegardes terminé","Sicherungsbereinigung abgeschlossen","Limpeza de backup concluída","Limpieza de backups completada"
"Backup cleanup failed","Nettoyage des sauvegardes échoué","Sicherungsbereinigung fehlgeschlagen","Limpeza de backup falhou","Limpieza de backups fallida"
"Backup cleanup started","Nettoyage des sauvegardes démarré","Sicherungsbereinigung gestartet","Limpeza de backup iniciada","Limpieza de backups iniciada"
"Backup Code","Code de sauvegarde","Backup-Code","Código de backup","Código de backup"
"Backup completed","Sauvegarde terminée","Sicherung abgeschlossen","Backup concluído","Backup completado"
"Backup completed successfully","Sauvegarde terminée avec succès","Sicherung erfolgreich abgeschlossen","Backup concluído com sucesso","Backup completado exitosamente"
"Backup configuration updated","Configuration de sauvegarde mise à jour","Sicherungskonfiguration aktualisiert","Configuração de backup atualizada","Configuración de backup actualizada"
"Backup Count","Nombre de sauvegardes","Anzahl der Sicherungen","Contagem de backups","Cantidad de backups"
"Backup created","Sauvegarde créée","Sicherung erstellt","Backup criado","Backup creado"
"Backup Date","Date de sauvegarde","Sicherungsdatum","Data do backup","Fecha del backup"
"Backup deleted","Sauvegarde supprimée","Sicherung gelöscht","Backup excluído","Backup eliminado"
"Backup details","Détails de la sauvegarde","Sicherungsdetails","Detalhes do backup","Detalles del backup"
"Backup disabled","Sauvegarde désactivée","Sicherung deaktiviert","Backup desabilitado","Backup deshabilitado"
"Backup downloaded","Sauvegarde téléchargée","Sicherung heruntergeladen","Backup baixado","Backup descargado"
"Backup duration","Durée de la sauvegarde","Sicherungsdauer","Duração do backup","Duración del backup"
"Backup enabled","Sauvegarde activée","Sicherung aktiviert","Backup habilitado","Backup habilitado"
"Backup failed","Sauvegarde échouée","Sicherung fehlgeschlagen","Backup falhou","Backup fallido"
"Backup Format","Format de sauvegarde","Sicherungsformat","Formato de backup","Formato de backup"
"Backup History","Historique des sauvegardes","Sicherungsverlauf","Histórico de backups","Historial de backups"
"Backup ID","ID de sauvegarde","Sicherungs-ID","ID do backup","ID de backup"
"Backup Information","Informations de sauvegarde","Sicherungsinformationen","Informações do backup","Información del backup"
"Backup Monitoring","Surveillance des sauvegardes","Backup-Überwachung","Monitoramento de backups","Monitoreo de backups"
"Backup monitoring interval","Intervalle de surveillance des sauvegardes","Backup-Überwachungsintervall","Intervalo de monitoramento de backups","Intervalo de monitoreo de backups"
"Backup monitoring settings saved successfully","Paramètres de surveillance des sauvegardes enregistrés avec succès","Backup-Überwachungseinstellungen erfolgreich gespeichert","Configurações de monitoramento de backups salvas com sucesso","Configuración de monitoreo de backups guardada exitosamente"
"Backup Name","Nom de sauvegarde","Sicherungsname","Nome do backup","Nombre de backup"
"Backup Notifications","Notifications de sauvegarde","Backup-Benachrichtigungen","Notificações de backup","Notificaciones de backup"
"Backup notifications have been reset","Les notifications de sauvegardes ont été réinitialisées","Backup-Benachrichtigungen wurden zurückgesetzt","As notificações de backups foram redefinidas","Las notificaciones de backups se han restablecido"
"Backup Overdue","Sauvegarde en retard","Sicherung überfällig","Backup atrasado","Backup retrasado"
"Backup Path","Chemin de sauvegarde","Sicherungspfad","Caminho do backup","Ruta de backup"
"Backup paused","Sauvegarde en pause","Sicherung pausiert","Backup pausado","Backup pausado"
"Backup restored","Sauvegarde restaurée","Sicherung wiederhergestellt","Backup restaurado","Backup restaurado"
"Backup resumed","Sauvegarde reprise","Sicherung fortgesetzt","Backup retomado","Backup reanudado"
"Backup retention policy updated","Politique de rétention des sauvegardes mise à jour","Sicherungsaufbewahrungsrichtlinie aktualisiert","Política de retenção de backup atualizada","Política de retención de backups actualizada"
"Backup retry initiated","Nouvelle tentative de sauvegarde","Sicherungswiederholung eingeleitet","Nova tentativa de backup iniciada","Reintento de backup iniciado"
"Backup retry started","Nouvelle tentative de sauvegarde","Sicherungswiederholung gestartet","Nova tentativa de backup iniciada","Reintento de backup iniciado"
"Backup schedule in cron format","Planification de sauvegarde au format cron","Sicherungszeitplan im Cron-Format","Agendamento de backup em formato cron","Programación de backup en formato cron"
"Backup scheduled","Sauvegarde planifiée","Sicherung geplant","Backup agendado","Backup programado"
"backup selected","sauvegarde sélectionnée","Sicherung ausgewählt","backup selecionado","backup seleccionado"
"Backup settings updated","Paramètres de sauvegarde mis à jour","Sicherungseinstellungen aktualisiert","Configurações de backup atualizadas","Configuración de backup actualizada"
"Backup Size","Taille de sauvegarde","Sicherungsgröße","Tamanho do Backup","Tamaño del backup"
"Backup started","Sauvegarde démarrée","Sicherung gestartet","Backup iniciado","Backup iniciado"
"Backup started successfully","Sauvegarde démarrée avec succès","Sicherung erfolgreich gestartet","Backup iniciado com sucesso","Backup iniciado exitosamente"
"Backup Statistics","Statistiques de sauvegarde","Sicherungsstatistiken","Estatísticas do backup","Estadísticas del backup"
"Backup status (Success, Failed, etc.)","Statut de la sauvegarde (Succès, Échoué, etc.)","Sicherungsstatus (Erfolg, Fehlgeschlagen, etc.)","Status do backup (Sucesso, Falha, etc.)","Estado del backup (Éxito, Fallido, etc.)"
"Backup Success","Sauvegarde réussie","Sicherung erfolgreich","Backup bem-sucedido","Backup exitoso"
"Backup Time","Heure de sauvegarde","Sicherungszeit","Horário do Backup","Hora del backup"
"Backup tolerance","Tolérance de sauvegarde","Backup-Toleranz","Tolerância de backup","Tolerancia de backup"
"Backup tolerance updated successfully.","Tolérance de sauvegarde mise à jour avec succès.","Backup-Toleranz erfolgreich aktualisiert.","Tolerância de backup atualizada com sucesso.","Tolerancia de backup actualizada exitosamente."
"Backup unscheduled","Sauvegarde non planifiée","Sicherung nicht geplant","Backup não agendado","Backup no programado"
"Backup uploaded","Sauvegarde téléversée","Sicherung hochgeladen","Backup enviado","Backup enviado"
"Backup verified","Sauvegarde vérifiée","Sicherung überprüft","Backup verificado","Backup verificado"
"Backups","Sauvegardes","Sicherungen","Backups","Backups"
"backups selected","sauvegardes sélectionnées","Sicherungen ausgewählt","backups selecionados","backups seleccionados"
"Bad gateway - Service unavailable","Mauvaise passerelle - Service indisponible","Falsches Gateway - Dienst nicht verfügbar","Gateway inválido - Serviço indisponível","Puerta de enlace incorrecta - Servicio no disponible"
"Based on locale","Basé sur la locale","Nach Locale","Baseado na localização","Basado en la configuración regional"
"Bulk Clear","Effacement en masse","Massenlöschung","Limpar em massa","Limpiar en masa"
"Bulk Edit","Modification en masse","Massenbearbeitung","Edição em massa","Edición masiva"
"Bulk Update Error","Erreur de mise à jour en masse","Fehler bei der Massenaktualisierung","Erro na atualização em massa","Error de actualización masiva"
"Bulk Update Successful","Mise à jour en masse réussie","Massenaktualisierung erfolgreich","Atualização em massa bem-sucedida","Actualización masiva exitosa"
"Cancel","Annuler","Abbrechen","Cancelar","Cancelar"
"Cancel Edit","Annuler la modification","Bearbeitung abbrechen","Cancelar edição","Cancelar edición"
"Cancelled","Annulé","Abgebrochen","Cancelado","Cancelado"
"Cannot be blank","Ne peut pas être vide","Darf nicht leer sein","Não pode estar em branco","No puede estar en blanco"
"Cannot be empty","Ne peut pas être vide","Darf nicht leer sein","Não pode estar vazio","No puede estar vacío"
"Cannot be null","Ne peut pas être nul","Darf nicht null sein","Não pode ser nulo","No puede ser nulo"
"Cannot be undefined","Ne peut pas être indéfini","Darf nicht undefiniert sein","Não pode ser indefinido","No puede ser indefinido"
"Cannot delete the last admin account","Impossible de supprimer le dernier compte administrateur","Das letzte Administratorkonto kann nicht gelöscht werden","Não é possível excluir a última conta de administrador","No se puede eliminar la última cuenta de administrador"
"Cards Sort Order","Ordre de tri des cartes","Kartensortierung","Ordem de classificação dos cartões","Orden de clasificación de tarjetas"
"Category","Catégorie","Kategorie","Categoria","Categoría"
"Certificate Expired","Certificat expiré","Zertifikat abgelaufen","Certificado Expirado","Certificado expirado"
"Certificate Expired Alert","Alerte certificat expiré","Zertifikatsablauf-Warnung","Alerta de Certificado Expirado","Alerta de certificado expirado"
"Certificate Name","Nom du certificat","Zertifikatsname","Nome do Certificado","Nombre del certificado"
"Change Email Password","Changer le mot de passe e-mail","E-Mail-Passwort ändern","Alterar senha de e-mail","Cambiar contraseña de correo electrónico"
"Change Password","Changer le mot de passe","Passwort ändern","Alterar senha","Cambiar contraseña"
"Change Password to Access Duplicati Server","Changer le mot de passe pour accéder au serveur Duplicati","Passwort ändern, um auf Duplicati-Server zuzugreifen","Alterar senha para acessar o servidor Duplicati","Cambiar contraseña para acceder al servidor Duplicati"
"Chart Time Range","Plage temporelle du graphique","Diagramm-Zeitbereich","Intervalo de tempo do gráfico","Rango de tiempo del gráfico"
"Check","Vérifier","Prüfen","Verificar","Verificar"
"Check now","Vérifier maintenant","Jetzt prüfen","Verificar agora","Verificar ahora"
"Checked","Vérifié","Geprüft","Verificado","Verificado"
"Choose a password","Choisissez un mot de passe","Wählen Sie ein Passwort","Escolha uma senha","Elija una contraseña"
"Choose a server or enter manually below","Choisissez un serveur ou saisissez manuellement ci-dessous","Wählen Sie einen Server aus oder geben Sie manuell unten ein","Escolha um servidor ou insira manualmente abaixo","Elija un servidor o ingrese manualmente a continuación"
"Choose a username","Choisissez un nom d'utilisateur","Wählen Sie einen Benutzernamen","Escolha um nome de usuário","Elija un nombre de usuario"
"Choose between 12-hour and 24-hour format","Choisissez entre le format 12 heures et 24 heures","Wählen Sie zwischen 12-Stunden- und 24-Stunden-Format","Escolha entre formato de 12 horas e 24 horas","Elija entre formato de 12 horas y 24 horas"
"Choose file","Choisir un fichier","Datei auswählen","Escolher arquivo","Elegir archivo"
"Choose how dates are displayed","Choisissez comment les dates sont affichées","Wählen Sie, wie Datumsangaben angezeigt werden","Escolha como as datas são exibidas","Elija cómo se muestran las fechas"
"Choose the visual theme for the application","Choisissez le thème visuel pour l'application","Wählen Sie das visuelle Theme für die Anwendung","Escolha o tema visual para o aplicativo","Elija el tema visual para la aplicación"
"Choose which events trigger notifications","Choisissez les événements qui déclenchent des notifications","Wählen Sie, welche Ereignisse Benachrichtigungen auslösen","Escolha quais eventos acionam notificações","Elija qué eventos desencadenan notificaciones"
"Clear","Effacer","Löschen","Limpar","Borrar"
"Clear Additional Destinations","Effacer les destinations supplémentaires","Zusätzliche Ziele löschen","Limpar destinos adicionais","Borrar destinos adicionales"
"Clear All","Tout effacer","Alles löschen","Limpar tudo","Borrar todo"
"Clear Complete","Effacement terminé","Löschung abgeschlossen","Limpeza concluída","Limpieza completada"
"Clear filter","Effacer le filtre","Filter löschen","Limpar filtro","Limpiar filtro"
"Clear Old Records","Effacer les anciens enregistrements","Alte Datensätze löschen","Limpar logs antigos","Limpiar logs antiguos"
"Clear search","Effacer la recherche","Suche löschen","Limpar pesquisa","Limpiar búsqueda"
"Clear Selection","Effacer la sélection","Auswahl löschen","Limpar seleção","Limpiar selección"
"Cleared successfully","Effacé avec succès","Erfolgreich gelöscht","Limpo com sucesso","Limpiado exitosamente"
"Click to change password","Cliquez pour changer le mot de passe","Klicken Sie, um das Passwort zu ändern","Clique para alterar a senha","Haga clic para cambiar la contraseña"
"Click to inherit from server defaults","Cliquez pour hériter des paramètres par défaut du serveur","Klicken, um von Server-Standardeinstellungen zu erben","Clique para herdar dos padrões do servidor","Haga clic para heredar de los valores predeterminados del servidor"
"Click to view available versions","Cliquez pour voir les versions disponibles","Klicken Sie, um verfügbare Versionen anzuzeigen","Clique para ver versões disponíveis","Haga clic para ver versiones disponibles"
"Close","Fermer","Schließen","Fechar","Cerrar"
"Collapse sidebar","Réduire la barre latérale","Seitenleiste einklappen","Recolher barra lateral","Contraer barra lateral"
"Collect","Collecter","Sammeln","Coletar","Recopilar"
"Collect All","Tout collecter","Alle sammeln","Coletar todos","Recopilar todo"
"Collect All Backups","Collecter toutes les sauvegardes","Alle Backups sammeln","Coletar todos os backups","Recopilar todas las copias de seguridad"
"Collect Backup Logs","Collecter les journaux de sauvegarde","Backup-Protokolle sammeln","Coletar logs de backup","Recopilar logs de backup"
"Collect backup logs (Right-click for Collect All)","Collecter les journaux de sauvegarde (Clic droit pour tout collecter)","Backup-Protokolle sammeln (Rechtsklick für Alle sammeln)","Coletar logs de backup (Clique direito para coletar todos)","Recopilar logs de backup (Clic derecho para recopilar todo)"
"Collect Backups","Collecter les sauvegardes","Backups sammeln","Coletar backups","Recopilar backups"
"Collect backups from all configured servers","Collecter les sauvegardes de tous les serveurs configurés","Backups von allen konfigurierten Servern sammeln","Coletar backups de todos os servidores configurados","Recopilar copias de seguridad de todos los servidores configurados"
"Collect backups logs","Collecter les journaux de sauvegarde","Sicherungsprotokolle sammeln","Coletar logs de backup","Recopilar logs de backup"
"Collect from  Servers","Collecter de  serveurs","Von  Servern sammeln","Coletar de  servidores","Recopilar de  servidores"
"Collected","Collecté","Gesammelt","Coletado","Recopilado"
"Collection Complete!","Collecte terminée!","Sammlung abgeschlossen!","Coleta completa!","¡Recopilación completa!"
"Collection Error","Erreur de collecte","Sammlungsfehler","Erro de coleta","Error de recopilación"
"Collection Failed","Collecte échouée","Sammlung fehlgeschlagen","Coleta falhou","Recopilación fallida"
"Comma-separated list of recipient email addresses","Liste séparée par des virgules des adresses e-mail des destinataires","Kommagetrennte Liste der Empfänger-E-Mail-Adressen","Lista separada por vírgulas de endereços de e-mail dos destinatários","Lista separada por comas de direcciones de correo electrónico de destinatarios"
"Complete the required fields below to enable notifications.","Remplissez les champs requis ci-dessous pour activer les notifications.","Vervollständigen Sie die erforderlichen Felder unten, um Benachrichtigungen zu aktivieren.","Preencha os campos obrigatórios abaixo para habilitar as notificações.","Complete los campos requeridos a continuación para habilitar las notificaciones."
"Completed","Terminé","Abgeschlossen","Concluído","Completado"
"Completed successfully","Terminé avec succès","Erfolgreich abgeschlossen","Concluído com sucesso","Completado exitosamente"
"Compression","Compression","Kompression","Compressão","Compresión"
"Configuration Error","Erreur de configuration","Konfigurationsfehler","Erro de configuração","Error de configuración"
"Configure","Configurer","Konfigurieren","Configurar","Configurar"
"Configure Backup Monitoring","Configurer la surveillance des sauvegardes","Backup-Überwachung konfigurieren","Configurar monitoramento de backups","Configurar monitoreo de backups"
"Configure Backup Notifications","Configurer les notifications de sauvegarde","Backup-Benachrichtigungen konfigurieren","Configurar notificações de backup","Configurar notificaciones de backup"
"Configure basic application settings","Configurer les paramètres de base de l'application","Grundlegende Anwendungseinstellungen konfigurieren","Configurar configurações básicas do aplicativo","Configurar los ajustes básicos de la aplicación"
"Configure Device","Configurer l'appareil","Gerät konfigurieren","Configurar dispositivo","Configurar dispositivo"
"Configure email and NTFY notifications","Configurer les notifications par e-mail et NTFY","E-Mail- und NTFY-Benachrichtigungen konfigurieren","Configurar notificações por e-mail e NTFY","Configurar notificaciones por correo electrónico y NTFY"
"Configure how numbers are displayed","Configurez comment les nombres sont affichés","Konfigurieren Sie, wie Zahlen angezeigt werden","Configure como os números são exibidos","Configure cómo se muestran los números"
"Configure how you want to receive notifications","Configurez comment vous souhaitez recevoir les notifications","Konfigurieren Sie, wie Sie Benachrichtigungen erhalten möchten","Configure como você deseja receber notificações","Configure cómo desea recibir notificaciones"
"Configure Monitoring","Configurer la surveillance","Überwachung konfigurieren","Configurar monitoramento","Configurar monitoreo"
"Configure monitoring for backups","Configurer la surveillance des sauvegardes","Backup-Überwachung konfigurieren","Configurar monitoramento de backups","Configurar monitoreo de backups"
"Configure NTFY push notification settings","Configurer les paramètres de notification push NTFY","NTFY-Push-Benachrichtigungseinstellungen konfigurieren","Configurar configurações de notificações push NTFY","Configurar ajustes de notificaciones push NTFY"
"Configure server addresses","Configurer les adresses du serveur","Serveradressen konfigurieren","Configurar endereços do servidor","Configurar direcciones del servidor"
"Configure Server Settings","Configurer les paramètres du serveur","Server-Einstellungen konfigurieren","Configurar configurações do servidor","Configurar ajustes del servidor"
"Configure SMTP settings for email notifications","Configurer les paramètres SMTP pour les notifications par e-mail","SMTP-Einstellungen für E-Mail-Benachrichtigungen konfigurieren","Configurar configurações SMTP para notificações por e-mail","Configurar ajustes SMTP para notificaciones por correo electrónico"
"Configure your device","Configurer votre appareil","Gerät konfigurieren","Configurar seu dispositivo","Configurar su dispositivo"
"Configured overdue tolerance (1 hour, 1 day, etc.)","Tolérance de retard configurée (1 heure, 1 jour, etc.)","Konfigurierte Überfälligkeitstoleranz (1 Stunde, 1 Tag, etc.)","Tolerância de atraso configurada (1 hora, 1 dia, etc.)","Tolerancia de retraso configurada (1 hora, 1 día, etc.)"
"Confirm","Confirmer","Bestätigen","Confirmar","Confirmar"
"Confirm New Password","Confirmer le nouveau mot de passe","Neues Passwort bestätigen","Confirmar nova senha","Confirmar nueva contraseña"
"Confirm Password","Confirmer le mot de passe","Passwort bestätigen","Confirmar senha","Confirmar contraseña"
"Confirm your new password","Confirmez votre nouveau mot de passe","Bestätigen Sie Ihr neues Passwort","Confirme sua nova senha","Confirme su nueva contraseña"
"Confirm your password","Confirmez votre mot de passe","Bestätigen Sie Ihr Passwort","Confirme sua senha","Confirme su contraseña"
"Conflict - Resource may have been modified","Conflit - La ressource a peut-être été modifiée","Konflikt - Ressource wurde möglicherweise geändert","Conflito - O recurso pode ter sido modificado","Conflicto - Es posible que el recurso haya sido modificado"
